id_jogo,nome,data_lancamento,desenvolvedor,publicadora,generos,categorias,plataformas,preco,moeda,jogadores_atuais
427520,Factorio,"14 Aug, 2020",Wube Software LTD.,Wube Software LTD.,"Casual, Indie, Simulation, Strategy","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play on Tablet, Family Sharing","windows, mac, linux",101.99,BRL,
221380,Age of Empires II (Retired),"9 Apr, 2013",Skybox Labs,Xbox Game Studios,Strategy,"Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing",windows,36.99,BRL,
231430,Company of Heroes 2,"25 Jun, 2013",Relic Entertainment,Relic Entertainment,Strategy,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Family Sharing","windows, mac, linux",20.29,BRL,
594570,Total War: WARHAMMER II,"Sep 28, 2017",CREATIVE ASSEMBLY,SEGA,"Action, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Remote Play on Tablet, Family Sharing","windows, mac, linux",59.99,USD,
646570,Slay the Spire,"23 Jan, 2019",Mega Crit,Mega Crit,"Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","windows, mac, linux",31.99,CAD,
1049590,Eternal Return,"19 Jul, 2023",Nimble Neuron,Nimble Neuron,"Indie, Strategy, Free To Play","Multi-player, PvP, Online PvP, Steam Trading Cards, In-App Purchases",windows,0.0,FREE,
779340,Total War: THREE KINGDOMS,"May 23, 2019",CREATIVE ASSEMBLY,SEGA,"Action, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","windows, mac, linux",14.99,USD,
233450,Prison Architect,"6 Oct, 2015",Introversion Software,Paradox Interactive,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing","windows, mac, linux",107.99,BRL,
397900,Business Tour - Board Game with Online Multiplayer,"27 Jul, 2017",8Floor,8Floor,"Adventure, Casual, Indie, Massively Multiplayer, Simulation, Strategy, Free To Play","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Steam Leaderboards, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together","windows, mac",0.0,FREE,
435150,Divinity: Original Sin 2 - Definitive Edition,"14 Sep, 2017",Larian Studios,Larian Studios,"Adventure, RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","windows, mac",90.99,BRL,
440900,Conan Exiles,"8 May, 2018",Funcom,Funcom,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Remote Play on Tablet, Remote Play on TV, Family Sharing",windows,99.49,BRL,
285800,Braveland,"17 Mar, 2014",Tortuga Team,Tortuga Team,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","windows, mac, linux",32.99,BRL,
960090,Bloons TD 6,"17 Dec, 2018",Ninja Kiwi,Ninja Kiwi,Strategy,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Remote Play on Phone, Remote Play on Tablet, Family Sharing","windows, mac",27.89,BRL,
262060,Darkest Dungeon®,"Jan 19, 2016",Red Hook Studios,Red Hook Studios,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing","windows, mac, linux",24.99,USD,
281990,Stellaris,"9 May, 2016",Paradox Development Studio,Paradox Interactive,"Simulation, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing","windows, mac, linux",143.99,BRL,
508440,Totally Accurate Battle Simulator,"Apr 1, 2021",Landfall,Landfall,"Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing","windows, mac",19.99,USD,
323190,Frostpunk,"24 Apr, 2018",11 bit studios,11 bit studios,"Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing","windows, mac",88.99,BRL,
813780,Age of Empires II: Definitive Edition,"14 Nov, 2019",World's Edge,Xbox Game Studios,Strategy,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Includes level editor, Family Sharing",windows,89.99,BRL,
212680,FTL: Faster Than Light,"14 Sep, 2012",Subset Games,Subset Games,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Family Sharing","windows, mac, linux",32.99,BRL,
286160,Tabletop Simulator,"Jun 5, 2015",Berserk Games,Berserk Games,"Casual, Indie, RPG, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing","windows, mac, linux",19.99,USD,
3590,Plants vs. Zombies GOTY Edition,"5 May, 2009","PopCap Games, Inc.","PopCap Games, Inc.",Strategy,"Single-player, Steam Achievements, Remote Play on Phone, Remote Play on Tablet, Family Sharing","windows, mac",9.9,BRL,
33930,Arma 2: Operation Arrowhead,"Jun 29, 2010",Bohemia Interactive,Bohemia Interactive,"Action, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Captions available, Partial Controller Support, Includes level editor",windows,3.99,USD,
8500,EVE Online,"15 Dec, 2010",CCP,CCP,"Action, Massively Multiplayer, RPG, Strategy, Free To Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Trading Cards","windows, mac",0.0,FREE,
601510,Yu-Gi-Oh! Duel Links,"16 Nov, 2017",KONAMI,KONAMI,"Strategy, Free To Play","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases",windows,0.0,FREE,
244850,Space Engineers,"Feb 28, 2019",Keen Software House,Keen Software House,"Action, Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Steam Achievements, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Family Sharing",windows,19.99,USD,
1142710,Total War: WARHAMMER III,"Feb 16, 2022",CREATIVE ASSEMBLY,SEGA,"Action, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","windows, mac, linux",59.99,USD,
418460,Rising Storm 2: Vietnam,"May 30, 2017",Antimatter Games,Tripwire Interactive,"Action, Massively Multiplayer, Simulation, Strategy","Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, In-App Purchases, Stats, Includes level editor, Family Sharing",windows,24.99,USD,
359320,Elite Dangerous,"Apr 2, 2015",Frontier Developments,Frontier Developments,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy","Single-player, Multi-player, MMO, Co-op, VR Supported, VR Support, In-App Purchases, Partial Controller Support, Remote Play on Tablet, Family Sharing",windows,19.99,USD,
